date,code,name,new_price,price_pct,net_amount,net_super_amount,net_large_amount,net_middle_amount,net_small_amount
2022-03-21,ts002467,二六三,4.91,0.41,-24197669.0,-12896555.0,-11301114.0,-5385585.0,29583254.0
2022-03-21,ts600170,上海建工,3.08,-0.96,-24335923.0,-20273850.0,-4062073.0,11948298.0,12387624.0
2022-03-21,ts600248,陕西建工,5.59,1.08,-24438306.0,-6099453.0,-18338853.0,8642878.0,15795428.0
2022-03-21,ts002739,万达电影,12.46,-1.42,-24471736.0,-4857645.0,-19614091.0,22832104.0,1639630.0
2022-03-21,ts002132,恒星科技,5.47,-1.08,-24508606.0,-3222426.0,-21286180.0,6097746.0,18410860.0
2022-03-21,ts000811,冰轮环境,12.22,-1.29,-24573296.0,-12467336.0,-12105960.0,8201070.0,16372227.0
2022-03-21,ts002437,誉衡药业,3.15,-3.67,-24576731.0,-46878509.0,22301778.0,-15701113.0,40277844.0
2022-03-21,ts600106,重庆路桥,4.93,-1.99,-24692212.0,-4362215.0,-20329997.0,10415456.0,14276756.0
2022-03-21,ts300485,赛升药业,17.1,-0.47,-24893109.0,-13223737.0,-11669372.0,-3224210.0,28117320.0
2022-03-21,ts600025,华能水电,5.82,-1.36,-25060753.0,-24218352.0,-842401.0,10219001.0,14841753.0
2022-03-21,ts000158,常山北明,6.39,-1.54,-25240119.0,-8857366.0,-16382753.0,12440003.0,12800116.0
2022-03-21,ts000878,云南铜业,11.28,-0.27,-25336734.0,-18318643.0,-7018091.0,1920100.0,23416634.0
2022-03-21,ts300289,利德曼,7.78,-1.39,-25393184.0,-6746111.0,-18647073.0,9855361.0,15537822.0
2022-03-21,ts002736,国信证券,9.94,-0.1,-25409876.0,-5136486.0,-20273390.0,497395.0,24912481.0
2022-03-21,ts000524,岭南控股,14.22,9.98,-25457746.0,-35049255.0,9591509.0,3956698.0,21501048.0
2022-03-21,ts601169,北京银行,4.38,-0.9,-25461893.0,-27923481.0,2461588.0,18876438.0,6585455.0
2022-03-21,ts300406,九强生物,18.86,-0.05,-25495825.0,-5904058.0,-19591767.0,1516381.0,23979443.0
2022-03-21,ts300036,超图软件,21.52,-0.23,-25522323.0,-22336473.0,-3185850.0,14247995.0,11274327.0
2022-03-21,ts002006,精功科技,24.1,6.21,-25574068.0,-14745843.0,-10828225.0,-2427155.0,28001222.0
2022-03-21,ts600773,西藏城投,21.03,0.05,-25736589.0,-2135284.0,-23601305.0,9077358.0,16659231.0
2022-03-21,ts002117,东港股份,9.17,-1.19,-25783711.0,-6300997.0,-19482714.0,17670909.0,8112802.0
2022-03-21,ts300165,天瑞仪器,7.33,-0.27,-25803977.0,-9585904.0,-16218073.0,-9773503.0,35577481.0
2022-03-21,ts300569,天能重工,12.62,-3.37,-25988849.0,-8282433.0,-17706416.0,-5875883.0,31864731.0
2022-03-21,ts000691,亚太实业,5.13,1.18,-25996408.0,-4897616.0,-21098792.0,-8514223.0,34510632.0
2022-03-21,ts002100,天康生物,11.98,1.44,-26062729.0,-8102774.0,-17959955.0,10398453.0,15664276.0
2022-03-21,ts600172,黄河旋风,8.88,-0.56,-26100743.0,-30455106.0,4354363.0,7638035.0,18462708.0
2022-03-21,ts600298,安琪酵母,44.26,-0.52,-26120934.0,-12403670.0,-13717264.0,24181105.0,1939830.0
2022-03-21,ts300347,泰格医药,94.37,-0.17,-26135680.0,-33194389.0,7058709.0,52467491.0,-26331810.0
2022-03-21,ts300896,爱美客,441.22,0.76,-26177515.0,-11438956.0,-14738559.0,27427536.0,-1250022.0
2022-03-21,ts002234,民和股份,15.48,2.93,-26181782.0,-5849824.0,-20331958.0,-13060399.0,39242180.0
2022-03-21,ts600061,国投资本,7.07,-1.67,-26196075.0,-14066468.0,-12129607.0,1761959.0,24434116.0
2022-03-21,ts002007,华兰生物,23.21,1.49,-26230113.0,6228545.0,-32458658.0,25090686.0,1139427.0
2022-03-21,ts301218,华是科技,56.9,-0.37,-26305773.0,-10143129.0,-16162644.0,4593176.0,21712597.0
2022-03-21,ts002791,坚朗五金,97.9,-1.12,-26312257.0,-19382552.0,-6929705.0,-14338183.0,40650441.0
2022-03-21,ts002637,赞宇科技,19.16,-0.21,-26381164.0,-8217914.0,-18163250.0,11969417.0,14411746.0
2022-03-21,ts300290,荣科科技,5.82,-2.51,-26387998.0,-8095764.0,-18292234.0,8448302.0,17939696.0
2022-03-21,ts300608,思特奇,16.16,1.57,-26453010.0,-3269856.0,-23183154.0,12806505.0,13646505.0
2022-03-21,ts600039,四川路桥,10.51,-0.19,-26466967.0,-9756037.0,-16710930.0,2486403.0,23980564.0
2022-03-21,ts600557,康缘药业,13.75,-1.43,-26521490.0,-9462761.0,-17058729.0,22013450.0,4508038.0
2022-03-21,ts000993,闽东电力,11.81,-1.09,-26555482.0,-10468374.0,-16087108.0,-7351238.0,33906719.0
2022-03-21,ts601162,天风证券,3.59,-1.37,-26674385.0,-19246064.0,-7428321.0,4059981.0,22614405.0
2022-03-21,ts000961,中南建设,3.76,-0.79,-26735651.0,-40241646.0,13505995.0,23517065.0,3218585.0
2022-03-21,ts600141,兴发集团,35.01,-1.38,-27080259.0,-35969495.0,8889236.0,42139088.0,-15058816.0
2022-03-21,ts002556,辉隆股份,11.35,2.71,-27150825.0,-11828752.0,-15322073.0,12414299.0,14736527.0
2022-03-21,ts300677,英科医疗,49.06,0.16,-27199119.0,-23683552.0,-3515567.0,10163384.0,17035736.0
2022-03-21,ts000988,华工科技,21.19,1.05,-27234983.0,-47415251.0,20180268.0,8282997.0,18951987.0
2022-03-21,ts600864,哈投股份,5.69,-1.9,-27378251.0,-7885343.0,-19492908.0,8308426.0,19069825.0
2022-03-21,ts000862,银星能源,8.92,-1.33,-27486501.0,-3899085.0,-23587416.0,11544068.0,15942433.0
2022-03-21,ts603005,晶方科技,39.78,-0.77,-27512982.0,-10885030.0,-16627952.0,-703944.0,28216926.0
2022-03-21,ts000836,富通信息,2.86,-0.69,-27526841.0,-5892110.0,-21634731.0,6834828.0,20692013.0
